PROVINCIA,MUNICIPIO,IDMuni,Lon,Lat,Year,Month,pr,rperc,rdec,condicion,rdecmod,rachas,anom,Z,catZ,SPI6,Intense
Cienfuegos,Lajas,51,-80.32651,22.44939,2025,8,569.6,65.2,1,2,-3,4,-304.2,-1.88,3,-2.05,4
Cienfuegos,Cumanayagua,52,-80.1964,22.03473,2025,8,520,55.3,1,2,-3,4,-420.6,-2.34,3,-2.67,4
Cienfuegos,Aguada de Pasajeros,53,-80.79537,22.35208,2025,8,640.6,66.7,1,2,-3,4,-319.8,-1.56,3,-1.68,4
Cienfuegos,Abreus,54,-80.65344,22.20159,2025,8,554.9,64.6,1,2,-3,4,-304.1,-1.88,3,-2.08,4
Cienfuegos,Cienfuegos,55,-80.41146,22.13974,2025,8,503.9,61.3,1,2,-3,4,-317.5,-2.2,3,-2.42,4
Villa Clara,Camajuaní,56,-79.70743,22.52708,2025,8,542.3,69.9,1,2,-3,4,-233.2,-1.68,3,-1.78,4
Villa Clara,Encrucijada,57,-79.81941,22.69502,2025,8,488.7,68.9,1,2,-3,5,-220.3,-1.48,3,-1.58,4
Villa Clara,Remedios,58,-79.49666,22.36623,2025,8,504.7,61.2,1,2,-3,4,-319.3,-1.81,3,-2,4
Villa Clara,Placetas,59,-79.66047,22.27341,2025,8,502.3,58.9,1,2,-3,5,-350.9,-2.04,3,-2.31,4
Villa Clara,Santa Clara,60,-79.92228,22.40291,2025,8,534.4,64.9,1,2,-3,5,-289,-1.98,3,-2.25,4
Villa Clara,Manicaragua,61,-79.93048,22.14385,2025,8,595.3,67.7,1,2,-3,4,-284.2,-1.78,3,-2,4
Villa Clara,Cifuentes,62,-80.00905,22.61275,2025,8,526.4,66.3,1,2,-3,5,-267.3,-1.61,3,-1.72,4
Villa Clara,Santo Domingo,63,-80.36037,22.64297,2025,8,573.7,69,1,2,-3,4,-257.2,-1.7,3,-1.87,4
Villa Clara,Corralillo,64,-80.53768,22.88691,2025,8,500.4,66.5,1,2,-3,5,-252.2,-1.7,3,-1.85,4
Villa Clara,Ranchuelo,65,-80.12088,22.4127,2025,8,547.1,65.5,1,2,-3,5,-288.5,-2.05,3,-2.27,4
Villa Clara,Quemado de Güines,66,-80.28497,22.80354,2025,8,509.2,67.4,1,2,-3,5,-246,-1.51,3,-1.62,4
Villa Clara,Caibarién,67,-79.52986,22.5277,2025,8,528.9,67.8,1,2,-3,5,-251.1,-1.47,3,-1.57,4
Sancti Spíritus,Taguasco,68,-79.28274,22.05398,2025,8,548.2,63.1,1,2,-3,5,-320,-1.7,3,-1.97,4
Sancti Spíritus,Jatibonico,69,-79.12379,21.93875,2025,8,539.8,63.4,1,2,-3,5,-311,-1.74,3,-1.97,4
Sancti Spíritus,Fomento,70,-79.69179,22.05199,2025,8,683.9,73.6,1,2,-3,5,-244.8,-1.36,2,-1.49,3
Sancti Spíritus,Sancti Spíritus,71,-79.49305,21.83283,2025,8,477.4,54.5,1,2,-3,16,-399,-2,3,-2.46,4
Sancti Spíritus,Yaguajay,72,-79.16849,22.28494,2025,8,436.4,53.5,1,2,-3,5,-379.6,-1.93,3,-2.28,4
Sancti Spíritus,La Sierpe,73,-79.24212,21.67166,2025,8,459.9,56.7,1,2,-3,4,-351.8,-1.8,3,-2.06,4
Sancti Spíritus,Trinidad,74,-79.85897,21.8525,2025,8,480.2,52,1,2,-3,4,-443.7,-2.02,3,-2.46,4
Sancti Spíritus,Cabaiguán,75,-79.4797,22.11819,2025,8,422.3,47.6,1,2,-3,16,-464.2,-2.51,3,-3.14,4
Ciego de Avila,Primero de Enero,76,-78.37382,21.88798,2025,8,394.2,54.7,1,2,-3,5,-326.2,-2.53,3,-2.89,4
Ciego de Avila,Majagua,77,-78.98716,21.85347,2025,8,548,66.3,1,2,-3,5,-278.2,-1.84,3,-2.05,4
